timestamp,temperature,humidity,pm2_5,co2
2025-02-10 22:04:20,24.805,45.47,3.9,400.0
2025-02-10 22:05:39,24.805,45.43,4.5,400.0
2025-02-10 22:06:39,24.805,45.46,4.4,400.0
2025-02-10 22:07:39,24.805,45.45,4.0,400.0
2025-02-10 22:08:39,24.805,45.46,3.9,400.0
2025-02-10 22:09:39,24.805,45.47,4.4,400.0
2025-02-10 22:10:39,24.805,45.45,4.4,400.0
2025-02-10 22:11:39,24.805,45.44,4.2,400.0
2025-02-10 22:12:39,24.805,45.44,4.7,400.0
2025-02-10 22:13:39,24.805,45.45,4.6,400.0
2025-02-10 22:14:39,24.81,45.46,3.9,400.0
2025-02-10 22:15:39,24.805,45.47,4.3,400.0
2025-02-10 22:16:39,24.805,45.47,4.4,400.0
2025-02-10 22:17:39,24.805,45.44,4.0,400.0
2025-02-10 22:18:39,24.805,45.47,4.7,400.0
2025-02-10 22:19:39,24.805,45.46,4.2,400.0
2025-02-10 22:20:44,24.805,45.47,4.0,400.0
2025-02-10 22:21:44,24.805,45.5,4.7,400.0
2025-02-10 22:22:44,24.805,45.49,4.3,400.0
2025-02-10 22:23:44,24.805,45.5,4.1,400.0
2025-02-10 22:24:44,24.805,45.48,4.2,400.0
2025-02-10 22:25:44,24.805,45.51,3.7,400.0
2025-02-10 22:26:44,24.81,45.51,3.7,400.0
2025-02-10 22:27:44,24.81,45.5,4.2,400.0
2025-02-10 22:28:44,24.81,45.49,4.0,400.0
2025-02-10 22:29:44,24.81,45.48,4.4,400.0
2025-02-10 22:30:44,24.81,45.48,4.0,400.0
2025-02-10 22:31:44,24.81,45.48,3.9,400.0
2025-02-10 22:32:44,24.81,45.45,3.7,400.0
2025-02-10 22:33:44,24.81,45.49,4.3,400.0
2025-02-10 22:34:44,24.81,45.48,4.5,400.0
2025-02-10 22:36:08,24.81,45.47,4.3,400.0
2025-02-10 22:37:08,24.815,45.46,4.4,400.0
2025-02-10 22:38:08,24.815,45.46,4.1,400.0
2025-02-10 22:39:08,24.815,45.47,4.1,400.0
2025-02-10 22:40:08,24.82,45.44,3.9,400.0
2025-02-10 22:41:08,24.82,45.43,4.6,400.0
2025-02-10 22:42:08,24.82,45.42,4.6,400.0
2025-02-10 22:43:08,24.82,45.4,4.5,400.0
2025-02-10 22:44:08,24.82,45.42,4.7,400.0
2025-02-10 22:45:08,24.82,45.43,4.1,400.0
2025-02-10 22:46:08,24.82,45.41,4.8,400.0
2025-02-10 22:47:08,24.82,45.43,4.2,400.0
2025-02-10 22:48:08,24.82,45.43,4.0,400.0
2025-02-10 22:49:08,24.82,45.44,4.2,400.0
2025-02-10 22:50:08,24.82,45.43,4.2,400.0
2025-02-10 22:51:08,24.82,45.42,4.3,400.0
2025-02-10 22:52:08,24.82,45.41,4.3,400.0
2025-02-10 22:53:08,24.82,45.41,5.0,400.0
2025-02-10 22:54:08,24.82,45.42,4.3,400.0
2025-02-10 22:55:08,24.825,45.42,3.8,400.0
2025-02-10 22:56:08,24.82,45.41,5.1,400.0
2025-02-10 22:57:08,24.82,45.42,4.4,400.0
2025-02-10 22:58:08,24.82,45.43,4.1,400.0
2025-02-10 22:59:08,24.82,45.44,3.9,400.0
2025-02-10 23:00:08,24.82,45.43,4.8,400.0
2025-02-10 23:01:08,24.82,45.45,4.2,400.0
2025-02-10 23:02:08,24.82,45.44,4.5,400.0
2025-02-10 23:03:08,24.82,45.46,4.7,400.0
2025-02-10 23:04:08,24.825,45.44,4.8,400.0
2025-02-10 23:05:08,24.825,45.44,4.6,400.0
2025-02-10 23:06:22,24.82,45.44,3.8,400.0
2025-02-10 23:07:22,24.82,45.45,4.2,400.0
2025-02-10 23:08:22,24.82,45.46,4.3,400.0
2025-02-10 23:09:22,24.82,45.46,4.8,400.0
2025-02-10 23:10:22,24.82,45.47,4.4,400.0
2025-02-10 23:11:22,24.82,45.45,4.3,400.0
2025-02-10 23:12:22,24.82,45.47,4.4,400.0
2025-02-10 23:13:22,24.82,45.46,4.2,400.0
2025-02-10 23:14:22,24.82,45.47,4.2,400.0
2025-02-10 23:15:22,24.815,45.44,4.2,400.0
2025-02-10 23:16:22,24.815,45.45,4.1,400.0
2025-02-10 23:17:22,24.815,45.46,4.7,400.0
2025-02-10 23:18:22,24.81,45.44,4.0,400.0
2025-02-10 23:19:22,24.81,45.45,4.6,400.0
2025-02-10 23:20:22,24.81,45.45,3.8,400.0
2025-02-10 23:21:11,24.81,45.47,4.7,400.0
2025-02-10 23:22:11,24.805,45.48,4.0,400.0
2025-02-10 23:23:11,24.805,45.47,4.3,400.0
2025-02-10 23:24:11,24.805,45.46,4.7,400.0
2025-02-10 23:25:11,24.805,45.47,4.2,400.0
2025-02-10 23:26:11,24.805,45.48,4.1,400.0
2025-02-10 23:27:11,24.805,45.46,3.8,400.0
